Date,year,month,day,week,weekday,weekend,workday,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
01/01/2004,2004,1,1,0,5,0,1,15143.708333,778.83333333,1425.5833333,1293.6666667,936.41666667,4651.5416667,907.29166667,60.25,2882.0416667,547.875,1694.5
01/02/2004,2004,1,2,0,6,0,1,16341.541667,768.75,1512.9166667,1437.7083333,1106.625,5150.5833333,960.16666667,59.208333333,3081,569.83333333,1758.75
01/03/2004,2004,1,3,0,7,1,0,15741.125,831.79166667,1560.5,1367.4583333,1047.3333333,4904.2083333,853.54166667,52.291666667,2989.5416667,553.125,1705.2916667
01/04/2004,2004,1,4,1,1,1,0,16338.958333,873.54166667,1622.9166667,1395.2083333,1018.25,5058.125,932.41666667,60.5,3126.9166667,584.125,1804.9583333
01/05/2004,2004,1,5,1,2,0,1,19177.25,937.20833333,1638.4166667,1595.5,1191.625,6199.9583333,1124.0416667,60.333333333,3682.9166667,700.125,2080.4166667
01/06/2004,2004,1,6,1,3,0,1,19905.375,981.625,1642.0416667,1652.5,1208.6666667,6416.7083333,1198.4166667,72.166666667,3778.0416667,733.70833333,2200.0416667
01/07/2004,2004,1,7,1,4,0,1,20443.875,969.91666667,1670.0833333,1765.5,1243.7916667,6638.3333333,1239.3333333,72.291666667,3834.625,740.83333333,2224.375
01/08/2004,2004,1,8,1,5,0,1,20521.333333,985.54166667,1714.2083333,1806.3333333,1377.5,6609.9583333,1289.2916667,83.25,3768,727.33333333,2188.9583333
01/09/2004,2004,1,9,1,6,0,1,21354.625,1005.375,1844.2916667,1883.3333333,1389.5416667,6849.8333333,1394.9583333,91.166666667,3975.5833333,758.375,2202
01/10/2004,2004,1,10,1,7,1,0,20115.333333,962.5,1856.4583333,1781.375,1364.5,6282.125,1369.75,75.875,3699.1666667,687.625,2054.7083333
01/11/2004,2004,1,11,2,1,1,0,18855.083333,921.79166667,1733.7916667,1687.5,1307.875,5881.125,1189.25,73.041666667,3505.375,653.29166667,1964.8333333
01/12/2004,2004,1,12,2,2,0,1,19706.375,950.70833333,1741.7083333,1628.0416667,1270.5833333,6346.875,1154.5833333,37.083333333,3689.2916667,711.625,2144.5833333
01/13/2004,2004,1,13,2,3,0,1,20282.958333,1021.875,1767.7083333,1717.2916667,1285.375,6514.5833333,1244.3333333,68.791666667,3771.375,723.20833333,2177.75
01/14/2004,2004,1,14,2,4,0,1,21787.625,999.16666667,1873.625,1918.125,1432.2916667,6989.4166667,1479.3333333,67.583333333,3979.375,781.16666667,2255.4166667
01/15/2004,2004,1,15,2,5,0,1,21969.708333,1029.375,1881.6666667,1937.6666667,1463.25,7065.6666667,1479.6666667,50.791666667,3935.4166667,796.29166667,2273
01/16/2004,2004,1,16,2,6,0,1,21654.208333,1022.5833333,1867.0833333,1880.2083333,1447,6956.5416667,1454.9166667,47.541666667,3924.875,800.375,2246.7083333
01/17/2004,2004,1,17,2,7,1,0,19725.75,986.25,1864.4166667,1680.6666667,1308.2083333,6176.5416667,1280.0416667,43.75,3593.375,724.70833333,2065.7083333
01/18/2004,2004,1,18,3,1,1,0,18401.916667,995.08333333,1772.6666667,1546.9166667,1219.5,5732.5416667,1146.5833333,34.333333333,3313.3333333,664.08333333,1959.75
01/19/2004,2004,1,19,3,2,0,1,20666.5,1050.8333333,1790.8333333,1725.0833333,1306.8333333,6685.8333333,1321.5416667,42,3769.1666667,768.41666667,2248.75
01/20/2004,2004,1,20,3,3,0,1,20841.5,1026.7083333,1743.9583333,1774.4166667,1313.25,6791.1666667,1325.75,34.166666667,3827.75,757.45833333,2260.0833333
01/21/2004,2004,1,21,3,4,0,1,20852.833333,976.75,1786.4166667,1754.6666667,1314.875,6774.4583333,1346.3333333,65.125,3874.5,769.875,2265.5
01/22/2004,2004,1,22,3,5,0,1,20613.041667,1067.25,1774.9583333,1643.25,1310.6666667,6670.8333333,1265.125,64.375,3809.7916667,789.625,2269.25
01/23/2004,2004,1,23,3,6,0,1,20986.375,1037.6666667,1822.75,1738.7083333,1365.2916667,6748.375,1339.3333333,64.875,3906.7083333,784.625,2278.5416667
01/24/2004,2004,1,24,3,7,1,0,19899.791667,1023.875,1817.7916667,1731.7083333,1364.125,6220.3333333,1338.25,46.208333333,3588.625,729.83333333,2061.1666667
01/25/2004,2004,1,25,4,1,1,0,19716.708333,1024.0833333,1869.4166667,1745.7916667,1375.7916667,6027.7916667,1320.125,51.333333333,3528.625,717.33333333,2040.75
01/26/2004,2004,1,26,4,2,0,1,21811.5,1018.1666667,1849.7916667,1902.3333333,1444.4583333,6980,1437.2916667,66.208333333,3992.9583333,790.125,2308.5833333
01/27/2004,2004,1,27,4,3,0,1,21301.125,1001.2916667,1747,1880.25,1422,6843.9583333,1379.5833333,85.083333333,3905.9166667,796.33333333,2226.875
01/28/2004,2004,1,28,4,4,0,1,20541.125,1023.5,1739.3333333,1722.6666667,1298.4583333,6622.8333333,1240.9583333,64.125,3870.0416667,766.83333333,2219.1666667
01/29/2004,2004,1,29,4,5,0,1,20664.875,1026.4583333,1700.9583333,1696.0416667,1316.5,6713.5,1262.8333333,63.666666667,3915.2083333,778.625,2270
01/30/2004,2004,1,30,4,6,0,1,20782.333333,1012.75,1753.1666667,1767.3333333,1312.2916667,6749.375,1284.2083333,60.125,3932.25,805.45833333,2248.0833333
01/31/2004,2004,1,31,4,7,1,0,19164.416667,995.08333333,1721.5833333,1636.25,1262,6044.9583333,1208.2916667,41.625,3586.9166667,713.54166667,2056.2916667
02/01/2004,2004,2,1,5,1,1,0,18196.5,985.58333333,1642.0833333,1582.5833333,1198.9583333,5651.5,1146.375,30.25,3391.75,666.79166667,1974
02/02/2004,2004,2,2,5,2,0,1,19756.833333,952,1609.0833333,1645.0833333,1241.9583333,6435.375,1234.9166667,47.291666667,3765.5833333,750.70833333,2177.9166667
02/03/2004,2004,2,3,5,3,0,1,19555.583333,957.375,1576.1666667,1638.3333333,1239.6666667,6401.0416667,1170.5833333,35.208333333,3687.25,736.75,2160.875
02/04/2004,2004,2,4,5,4,0,1,19597.583333,968.70833333,1654.6666667,1571,1160.0416667,6410.5416667,1180.8333333,17.041666667,3697.7916667,742.54166667,2159.3333333
02/05/2004,2004,2,5,5,5,0,1,19905.041667,997.04166667,1625.0833333,1597.0833333,1197.1666667,6481.2083333,1207.625,37.333333333,3680.1666667,785.20833333,2242.5833333
02/06/2004,2004,2,6,5,6,0,1,19680.375,973.91666667,1616.4166667,1641,1258.9583333,6376.7916667,1204.4583333,71.375,3640.125,747,2163.5
02/07/2004,2004,2,7,5,7,1,0,18222.916667,978.54166667,1635.4583333,1505.9583333,1193.6666667,5790.1666667,1113.5,72.125,3375.3333333,696.54166667,1980.375
02/08/2004,2004,2,8,6,1,1,0,18238.416667,947.33333333,1651.25,1560.75,1194.7916667,5763.8333333,1156.7916667,74.333333333,3392.375,684.95833333,1949.625
02/09/2004,2004,2,9,6,2,0,1,19614.958333,970.33333333,1604.875,1589.875,1195.0833333,6451.6666667,1180.3333333,74.583333333,3756.7083333,751.375,2176.0833333
