Date,year,month,day,week,weekday,weekend,workday,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
01/01/2004,2004,1,1,0,5,0,1,18093,840,1541,1656,1085,5528,1157,71,3389,636,1949
01/02/2004,2004,1,2,0,6,0,1,19158,858,1639,1803,1299,6160,1192,68,3626,671,2017
01/03/2004,2004,1,3,0,7,1,0,18410,915,1660,1668,1249,5809,1075,64,3484,654,1973
01/04/2004,2004,1,4,1,1,1,0,19881,979,1765,1809,1278,6269,1231,71,3754,700,2138
01/05/2004,2004,1,5,1,2,0,1,22322,998,1725,1995,1392,7387,1404,76,4253,827,2395
01/06/2004,2004,1,6,1,3,0,1,23246,1038,1769,2065,1380,7642,1498,82,4413,857,2550
01/07/2004,2004,1,7,1,4,0,1,23434,1043,1772,2260,1482,7772,1438,96,4257,854,2483
01/08/2004,2004,1,8,1,5,0,1,23425,1060,1809,2146,1562,7740,1549,92,4262,842,2453
01/09/2004,2004,1,9,1,6,0,1,23957,1078,1946,2184,1534,7878,1635,101,4500,860,2467
01/10/2004,2004,1,10,1,7,1,0,22470,1045,1948,2119,1493,7129,1568,90,4125,789,2270
01/11/2004,2004,1,11,2,1,1,0,21385,972,1848,2089,1494,6847,1362,86,4004,736,2211
01/12/2004,2004,1,12,2,2,0,1,22629,1036,1821,1959,1509,7450,1397,67,4185,796,2424
01/13/2004,2004,1,13,2,3,0,1,23879,1091,1862,2116,1579,7807,1609,93,4379,858,2475
01/14/2004,2004,1,14,2,4,0,1,24528,1059,1959,2262,1614,8060,1711,93,4482,903,2547
01/15/2004,2004,1,15,2,5,0,1,24937,1095,1987,2265,1677,8213,1743,60,4477,937,2574
01/16/2004,2004,1,16,2,6,0,1,23795,1099,1944,2136,1619,7811,1634,59,4368,864,2457
01/17/2004,2004,1,17,2,7,1,0,22109,1055,1983,1925,1475,6963,1446,55,3982,808,2306
01/18/2004,2004,1,18,3,1,1,0,21380,1082,1905,1844,1417,6851,1376,45,3862,780,2267
01/19/2004,2004,1,19,3,2,0,1,23651,1114,1876,2033,1543,7874,1587,52,4291,897,2561
01/20/2004,2004,1,20,3,3,0,1,23676,1085,1845,2110,1524,7872,1562,71,4373,881,2523
01/21/2004,2004,1,21,3,4,0,1,23660,1042,1856,2053,1506,7865,1556,81,4368,866,2534
01/22/2004,2004,1,22,3,5,0,1,23740,1132,1896,1985,1538,7796,1551,74,4369,901,2585
01/23/2004,2004,1,23,3,6,0,1,23390,1088,1919,2014,1539,7645,1566,77,4324,880,2488
01/24/2004,2004,1,24,3,7,1,0,22418,1077,1891,2028,1537,7128,1554,61,4066,880,2282
01/25/2004,2004,1,25,4,1,1,0,22270,1079,1950,2016,1539,6988,1497,66,4034,817,2298
01/26/2004,2004,1,26,4,2,0,1,24843,1089,1954,2232,1631,8104,1668,100,4548,910,2586
01/27/2004,2004,1,27,4,3,0,1,23679,1081,1839,2200,1599,7752,1580,95,4363,861,2459
01/28/2004,2004,1,28,4,4,0,1,23291,1099,1792,2005,1461,7663,1470,78,4387,894,2491
01/29/2004,2004,1,29,4,5,0,1,23514,1092,1779,2025,1513,7795,1515,88,4426,898,2625
01/30/2004,2004,1,30,4,6,0,1,23151,1090,1852,2054,1440,7646,1484,67,4381,881,2471
01/31/2004,2004,1,31,4,7,1,0,21218,1036,1813,1885,1416,6820,1401,66,3940,796,2254
02/01/2004,2004,2,1,5,1,1,0,20654,1036,1728,1854,1351,6581,1312,82,3846,778,2201
02/02/2004,2004,2,2,5,2,0,1,22422,1038,1687,1893,1410,7470,1439,54,4224,847,2440
02/03/2004,2004,2,3,5,3,0,1,22172,1051,1696,1880,1447,7361,1375,54,4204,849,2416
02/04/2004,2004,2,4,5,4,0,1,22608,1052,1753,1942,1347,7501,1443,40,4234,871,2425
02/05/2004,2004,2,5,5,5,0,1,22484,1070,1729,1905,1393,7434,1439,66,4126,891,2506
02/06/2004,2004,2,6,5,6,0,1,21520,1033,1691,1854,1424,7123,1383,95,3938,829,2349
02/07/2004,2004,2,7,5,7,1,0,20751,1046,1779,1786,1337,6728,1364,82,3805,785,2201
02/08/2004,2004,2,8,6,1,1,0,20766,1032,1736,1885,1321,6727,1331,81,3890,795,2198
02/09/2004,2004,2,9,6,2,0,1,22081,1048,1670,1918,1350,7443,1374,84,4242,852,2420
02/10/2004,2004,2,10,6,3,0,1,22067,1031,1771,1898,1289,7411,1337,84,4198,851,2412
02/11/2004,2004,2,11,6,4,0,1,22141,1010,1743,1909,1370,7388,1400,87,4213,859,2395
02/12/2004,2004,2,12,6,5,0,1,21868,1030,1751,1893,1367,7323,1347,73,4146,846,2403
02/13/2004,2004,2,13,6,6,0,1,21563,1009,1718,1890,1310,7079,1306,67,4112,876,2379
02/14/2004,2004,2,14,6,7,1,0,20594,1039,1782,1839,1305,6644,1311,70,3885,757,2173
02/15/2004,2004,2,15,7,1,1,0,20989,1049,1770,1952,1391,6673,1381,80,3924,788,2201
02/16/2004,2004,2,16,7,2,0,1,22591,1082,1763,1976,1467,7503,1449,80,4282,874,2452
02/17/2004,2004,2,17,7,3,0,1,22124,1049,1694,1880,1467,7303,1383,78,4210,847,2399
02/18/2004,2004,2,18,7,4,0,1,21923,1008,1645,1832,1409,7279,1354,73,4187,857,2453
02/19/2004,2004,2,19,7,5,0,1,21140,1031,1614,1709,1337,7080,1261,71,4117,802,2337
02/20/2004,2004,2,20,7,6,0,1,21094,1013,1652,1703,1309,7040,1283,65,4055,778,2304
02/21/2004,2004,2,21,7,7,1,0,19641,1005,1568,1644,1240,6404,1198,61,3812,734,2153
02/22/2004,2004,2,22,8,1,1,0,19171,1019,1565,1629,1249,6173,1138,65,3701,682,2076
02/23/2004,2004,2,23,8,2,0,1,21397,1008,1660,1762,1346,7158,1301,67,4121,796,2364
02/24/2004,2004,2,24,8,3,0,1,21324,997,1683,1708,1353,7159,1293,89,4072,787,2344
02/25/2004,2004,2,25,8,4,0,1,21068,994,1615,1695,1354,7073,1282,98,4011,778,2324
02/26/2004,2004,2,26,8,5,0,1,20989,1003,1604,1683,1325,7012,1249,91,4039,797,2339
02/27/2004,2004,2,27,8,6,0,1,20148,974,1695,1625,1335,6631,1220,63,3924,740,2223
02/28/2004,2004,2,28,8,7,1,0,18260,978,1621,1492,1211,5866,1078,66,3551,654,1993
02/29/2004,2004,2,29,9,1,1,0,18221,972,1589,1486,1214,5861,1019,44,3567,650,2017
03/01/2004,2004,3,1,9,2,0,1,20429,993,1498,1560,1234,6938,1160,46,4074,764,2279
03/02/2004,2004,3,2,9,3,0,1,20556,1011,1626,1547,1301,6915,1195,51,4074,767,2252
03/03/2004,2004,3,3,9,4,0,1,20487,1036,1592,1543,1316,6948,1173,49,3988,784,2274
03/04/2004,2004,3,4,9,5,0,1,20576,1018,1638,1540,1285,6914,1179,47,4044,749,2266
03/05/2004,2004,3,5,9,6,0,1,20443,1047,1661,1494,1307,6885,1145,48,3999,735,2215
03/06/2004,2004,3,6,9,7,1,0,19152,1036,1640,1565,1264,6122,1138,51,3698,691,2040
03/07/2004,2004,3,7,10,1,1,0,19392,1023,1693,1676,1176,6300,1146,56,3746,698,2048
03/08/2004,2004,3,8,10,2,0,1,21033,1044,1636,1711,1232,7074,1206,52,4134,801,2322
03/09/2004,2004,3,9,10,3,0,1,20505,969,1616,1680,1189,6954,1175,53,3976,766,2313
03/10/2004,2004,3,10,10,4,0,1,20294,1034,1579,1640,1118,6856,1149,52,3943,734,2279
03/11/2004,2004,3,11,10,5,0,1,20493,1060,1551,1628,1138,6945,1175,47,4079,751,2307
03/12/2004,2004,3,12,10,6,0,1,20784,1082,1684,1704,1116,6975,1262,59,4032,766,2330
03/13/2004,2004,3,13,10,7,1,0,18881,1070,1715,1660,1084,6083,1131,114,3532,688,2071
03/14/2004,2004,3,14,11,1,1,0,18940,1021,1661,1704,1095,6117,1117,88,3565,678,2062
03/15/2004,2004,3,15,11,2,0,1,20939,1053,1669,1730,1173,7005,1257,95,4040,789,2319
03/16/2004,2004,3,16,11,3,0,1,21634,1038,1636,1910,1218,7285,1305,93,4149,804,2414
03/17/2004,2004,3,17,11,4,0,1,21064,1035,1685,1763,1195,7017,1216,98,4034,778,2342
03/18/2004,2004,3,18,11,5,0,1,20813,1015,1632,1853,1135,6922,1212,95,3941,772,2327
03/19/2004,2004,3,19,11,6,0,1,19721,973,1655,1629,1062,6649,1136,106,3765,746,2214
03/20/2004,2004,3,20,11,7,1,0,18628,987,1560,1910,1118,6211,1095,81,3555,666,2084
03/21/2004,2004,3,21,12,1,1,0,19710,1025,1693,1819,1142,6286,1208,75,3753,681,2131
03/22/2004,2004,3,22,12,2,0,1,21411,1045,1686,1711,1348,7153,1326,84,4175,791,2276
03/23/2004,2004,3,23,12,3,0,1,20657,1017,1701,1644,1288,6952,1200,56,4107,769,2186
03/24/2004,2004,3,24,12,4,0,1,20374,998,1616,1574,1253,6918,1154,50,4054,761,2197
03/25/2004,2004,3,25,12,5,0,1,19426,1007,1561,1515,1209,6596,1063,45,3890,742,2138
03/26/2004,2004,3,26,12,6,0,1,19076,999,1551,1556,1104,6508,1018,45,3746,713,2148
03/27/2004,2004,3,27,12,7,1,0,17371,964,1603,1466,1033,5662,939,46,3406,622,1864
03/28/2004,2004,3,28,13,1,1,0,17522,996,1508,1539,1005,5701,916,40,3465,641,1865
03/29/2004,2004,3,29,13,2,0,1,19306,983,1546,1488,1152,6482,1021,42,3841,716,2130
03/30/2004,2004,3,30,13,3,0,1,19555,999,1537,1474,1150,6619,1104,46,3913,734,2180
03/31/2004,2004,3,31,13,4,0,1,19807,1017,1548,1513,1177,6700,1145,49,3996,714,2190
04/01/2004,2004,4,1,13,5,0,1,19867,932,1518,1618,1172,6723,1108,47,3998,715,2213
04/02/2004,2004,4,2,13,6,0,1,19145,949,1457,1593,1041,6574,1028,46,3827,664,2102
04/03/2004,2004,4,3,13,7,1,0,17320,925,1516,1599,1000,5743,956,44,3430,684,1825
04/04/2004,2004,4,4,14,1,1,0,18551,929,1550,1766,1054,5995,1086,44,3609,614,1947
04/05/2004,2004,4,5,14,2,0,1,19911,931,1542,1757,1238,6759,1193,54,3902,687,2176
04/06/2004,2004,4,6,14,3,0,1,19505,921,1501,1689,1153,6494,1119,58,3883,686,2133
04/07/2004,2004,4,7,14,4,0,1,19211,878,1724,1645,1118,6503,1094,50,3786,682,2110
04/08/2004,2004,4,8,14,5,0,1,18847,957,1707,1625,1050,6448,1142,67,3600,656,2037
04/09/2004,2004,4,9,14,6,0,1,15939,908,1479,1473,937,5061,901,43,3127,531,1690
04/10/2004,2004,4,10,14,7,1,0,16423,933,1613,1481,970,5196,921,53,3216,521,1703
04/11/2004,2004,4,11,15,1,1,0,16016,900,1415,1453,922,5142,889,48,3185,510,1685
04/12/2004,2004,4,12,15,2,0,1,18521,971,1468,1592,1035,6228,1024,50,3809,634,2006
04/13/2004,2004,4,13,15,3,0,1,19287,969,1539,1641,1135,6590,1061,44,3927,663,2122
04/14/2004,2004,4,14,15,4,0,1,18470,975,1448,1542,1081,6295,1003,44,3685,620,2039
04/15/2004,2004,4,15,15,5,0,1,18368,977,1509,1441,1101,6326,1006,44,3759,610,1988
04/16/2004,2004,4,16,15,6,0,1,18109,950,1430,1451,1058,6256,966,36,3685,618,1970
04/17/2004,2004,4,17,15,7,1,0,17083,888,1401,1443,1020,5695,914,42,3301,594,1775
04/18/2004,2004,4,18,16,1,1,0,16860,932,1430,1397,992,5358,905,41,3264,541,1750
04/19/2004,2004,4,19,16,2,0,1,18295,932,1503,1393,1111,6382,936,32,3671,630,2025
04/20/2004,2004,4,20,16,3,0,1,18029,914,1543,1459,1014,6158,953,41,3618,615,1984
04/21/2004,2004,4,21,16,4,0,1,18456,884,1519,1450,1106,6324,945,32,3752,647,2042
04/22/2004,2004,4,22,16,5,0,1,17958,947,1521,1424,1025,6258,938,40,3619,625,1968
04/23/2004,2004,4,23,16,6,0,1,18047,931,1522,1440,1040,6161,980,43,3668,629,1944
04/24/2004,2004,4,24,16,7,1,0,16349,935,1475,1378,926,5331,875,41,3222,526,1730
04/25/2004,2004,4,25,17,1,1,0,17125,889,1527,1591,1055,5522,1031,43,3420,535,1738
04/26/2004,2004,4,26,17,2,0,1,18934,970,1529,1522,1059,6366,1034,108,3751,595,1974
04/27/2004,2004,4,27,17,3,0,1,18820,976,1591,1575,1114,6300,1079,42,3773,622,2031
04/28/2004,2004,4,28,17,4,0,1,18453,924,1546,1532,1010,6264,1051,42,3794,615,2008
04/29/2004,2004,4,29,17,5,0,1,18009,949,1443,1445,1021,6344,957,28,3622,592,1965
04/30/2004,2004,4,30,17,6,0,1,18318,954,1479,1377,1057,6378,900,35,3702,625,1953
05/01/2004,2004,5,1,17,7,1,0,16647,950,1465,1299,961,5439,873,57,3310,546,1758
05/02/2004,2004,5,2,18,1,1,0,16880,920,1526,1374,1065,5420,955,46,3341,575,1740
05/03/2004,2004,5,3,18,2,0,1,18664,962,1512,1458,1010,6321,1072,46,3714,666,1988
05/04/2004,2004,5,4,18,3,0,1,18293,945,1511,1444,1013,6253,1012,48,3708,658,1937
05/05/2004,2004,5,5,18,4,0,1,18199,945,1461,1463,997,6263,987,40,3720,623,1924
05/06/2004,2004,5,6,18,5,0,1,18219,931,1456,1494,933,6363,974,37,3608,651,2004
05/07/2004,2004,5,7,18,6,0,1,18051,962,1424,1447,898,6287,938,41,3573,633,1921
05/08/2004,2004,5,8,18,7,1,0,16937,912,1421,1435,873,5549,949,40,3483,608,1772
05/09/2004,2004,5,9,19,1,1,0,15906,882,1384,1364,831,5231,814,34,3229,564,1676
05/10/2004,2004,5,10,19,2,0,1,18615,950,1356,1376,1092,6582,941,30,3765,697,2061
05/11/2004,2004,5,11,19,3,0,1,18411,976,1288,1382,1087,6565,901,33,3674,692,2057
05/12/2004,2004,5,12,19,4,0,1,19132,946,1375,1378,1122,6871,953,31,3883,763,2189
05/13/2004,2004,5,13,19,5,0,1,20327,977,1376,1414,1167,7365,1060,36,4073,795,2283
05/14/2004,2004,5,14,19,6,0,1,19990,942,1402,1442,1188,7144,1014,37,4037,711,2183
05/15/2004,2004,5,15,19,7,1,0,16477,924,1328,1307,961,5512,800,34,3273,634,1755
05/16/2004,2004,5,16,20,1,1,0,15596,874,1292,1283,890,5234,806,89,3098,617,1705
