Date,year,month,day,week,weekday,weekend,workday,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
01/01/2004,2004,1,1,0,5,0,1,13219,728,1334,1018,811,3966,709,50,2534,454,1501
01/02/2004,2004,1,2,0,6,0,1,13373,713,1402,1070,881,4023,736,46,2501,468,1473
01/03/2004,2004,1,3,0,7,1,0,13446,785,1450,1121,928,4005,658,40,2518,456,1450
01/04/2004,2004,1,4,1,1,1,0,13276,821,1485,1018,839,3988,670,46,2562,468,1492
01/05/2004,2004,1,5,1,2,0,1,15245,881,1575,1178,920,4578,802,48,2906,574,1696
01/06/2004,2004,1,6,1,3,0,1,16144,929,1553,1266,988,4879,898,56,3067,615,1786
01/07/2004,2004,1,7,1,4,0,1,16965,915,1590,1421,1018,5165,989,58,3285,592,1895
01/08/2004,2004,1,8,1,5,0,1,17254,922,1614,1429,1156,5193,1022,70,3186,611,1868
01/09/2004,2004,1,9,1,6,0,1,18179,941,1724,1554,1254,5433,1140,75,3348,607,1871
01/10/2004,2004,1,10,1,7,1,0,18209,912,1685,1553,1250,5459,1201,56,3391,595,1862
01/11/2004,2004,1,11,2,1,1,0,16861,876,1600,1406,1158,5057,1012,50,3116,587,1740
01/12/2004,2004,1,12,2,2,0,1,16246,857,1654,1271,1053,4909,897,24,3071,608,1769
01/13/2004,2004,1,13,2,3,0,1,16230,955,1646,1351,1049,4913,864,34,3023,580,1811
01/14/2004,2004,1,14,2,4,0,1,18442,944,1805,1544,1261,5516,1215,41,3394,675,1881
01/15/2004,2004,1,15,2,5,0,1,18681,984,1805,1580,1286,5674,1221,36,3416,662,1930
01/16/2004,2004,1,16,2,6,0,1,19160,988,1820,1638,1227,5785,1255,40,3431,714,1977
01/17/2004,2004,1,17,2,7,1,0,17569,905,1785,1497,1175,5308,1109,37,3232,641,1819
01/18/2004,2004,1,18,3,1,1,0,16021,932,1665,1349,1067,4805,942,20,2897,555,1699
01/19/2004,2004,1,19,3,2,0,1,17017,1017,1690,1376,1075,5208,1045,30,3081,596,1868
01/20/2004,2004,1,20,3,3,0,1,17711,970,1634,1432,1118,5435,1092,19,3264,634,1938
01/21/2004,2004,1,21,3,4,0,1,17939,893,1714,1468,1144,5459,1133,25,3315,666,1944
01/22/2004,2004,1,22,3,5,0,1,17168,995,1704,1389,1069,5239,991,49,3167,698,1876
01/23/2004,2004,1,23,3,6,0,1,18042,982,1725,1478,1146,5490,1099,54,3381,648,2008
01/24/2004,2004,1,24,3,7,1,0,17578,964,1753,1496,1203,5307,1135,19,3155,618,1853
01/25/2004,2004,1,25,4,1,1,0,17707,971,1794,1563,1230,5258,1184,38,3131,630,1813
01/26/2004,2004,1,26,4,2,0,1,17932,982,1731,1572,1243,5332,1168,50,3239,600,1937
01/27/2004,2004,1,27,4,3,0,1,18423,925,1665,1562,1239,5581,1154,59,3349,692,1884
01/28/2004,2004,1,28,4,4,0,1,17430,956,1678,1459,1108,5254,1028,46,3250,661,1884
01/29/2004,2004,1,29,4,5,0,1,17427,984,1623,1397,1107,5327,1007,49,3375,638,1931
01/30/2004,2004,1,30,4,6,0,1,17863,916,1665,1449,1136,5445,1065,51,3421,727,1926
01/31/2004,2004,1,31,4,7,1,0,17216,933,1607,1417,1136,5261,1036,8,3190,620,1845
02/01/2004,2004,2,1,5,1,1,0,16304,938,1534,1379,1095,4923,1022,1,2989,596,1776
02/02/2004,2004,2,2,5,2,0,1,16658,856,1532,1321,1076,4989,1014,38,3212,647,1838
02/03/2004,2004,2,3,5,3,0,1,16164,890,1510,1332,1058,4993,947,-3,2989,598,1827
02/04/2004,2004,2,4,5,4,0,1,16201,886,1566,1198,973,4999,913,-10,3136,590,1834
02/05/2004,2004,2,5,5,5,0,1,16833,938,1520,1334,968,5165,968,27,3114,655,1891
02/06/2004,2004,2,6,5,6,0,1,16774,897,1509,1342,1037,5187,990,28,3134,616,1883
02/07/2004,2004,2,7,5,7,1,0,15852,901,1458,1263,1005,4834,896,59,2993,616,1738
02/08/2004,2004,2,8,6,1,1,0,16211,870,1535,1330,1085,5008,1023,68,2977,609,1742
02/09/2004,2004,2,9,6,2,0,1,16167,894,1477,1287,1008,5056,949,64,3104,602,1831
02/10/2004,2004,2,10,6,3,0,1,16128,863,1505,1237,940,5025,870,58,3142,663,1807
02/11/2004,2004,2,11,6,4,0,1,16427,912,1572,1244,949,5110,907,58,3207,632,1845
02/12/2004,2004,2,12,6,5,0,1,16433,914,1561,1297,1060,5067,941,54,3141,622,1807
02/13/2004,2004,2,13,6,6,0,1,16359,920,1530,1282,1058,5070,922,49,3160,622,1799
02/14/2004,2004,2,14,6,7,1,0,15953,960,1574,1248,982,4883,855,51,3074,605,1791
02/15/2004,2004,2,15,7,1,1,0,16308,948,1647,1361,1131,4923,1022,58,3078,560,1735
02/16/2004,2004,2,16,7,2,0,1,17239,959,1631,1441,1155,5130,1038,58,3300,666,1887
02/17/2004,2004,2,17,7,3,0,1,17114,908,1562,1375,1145,5150,1040,58,3228,626,1902
02/18/2004,2004,2,18,7,4,0,1,16680,884,1474,1313,1090,5062,926,50,3186,645,1883
02/19/2004,2004,2,19,7,5,0,1,16007,889,1407,1205,996,4930,871,50,3138,607,1813
02/20/2004,2004,2,20,7,6,0,1,15535,914,1434,1136,971,4812,794,47,3058,585,1788
02/21/2004,2004,2,21,7,7,1,0,15033,892,1417,1183,915,4656,763,43,2898,555,1695
02/22/2004,2004,2,22,8,1,1,0,14807,856,1389,1138,849,4510,790,47,2900,584,1628
02/23/2004,2004,2,23,8,2,0,1,15509,894,1421,1221,922,4722,863,-63,3033,571,1741
