Date,year,month,day,week,weekday,weekend,workday,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
01/01/2004,2004,1,1,0,5,0,1,363449,18692,34214,31048,22474,111637,21775,1446,69169,13149,40668
01/02/2004,2004,1,2,0,6,0,1,392197,18450,36310,34505,26559,123614,23044,1421,73944,13676,42210
01/03/2004,2004,1,3,0,7,1,0,377787,19963,37452,32819,25136,117701,20485,1255,71749,13275,40927
01/04/2004,2004,1,4,1,1,1,0,392135,20965,38950,33485,24438,121395,22378,1452,75046,14019,43319
01/05/2004,2004,1,5,1,2,0,1,460254,22493,39322,38292,28599,148799,26977,1448,88390,16803,49930
01/06/2004,2004,1,6,1,3,0,1,477729,23559,39409,39660,29008,154001,28762,1732,90673,17609,52801
01/07/2004,2004,1,7,1,4,0,1,490653,23278,40082,42372,29851,159320,29744,1735,92031,17780,53385
01/08/2004,2004,1,8,1,5,0,1,492512,23653,41141,43352,33060,158639,30943,1998,90432,17456,52535
01/09/2004,2004,1,9,1,6,0,1,512511,24129,44263,45200,33349,164396,33479,2188,95414,18201,52848
01/10/2004,2004,1,10,1,7,1,0,482768,23100,44555,42753,32748,150771,32874,1821,88780,16503,49313
01/11/2004,2004,1,11,2,1,1,0,452522,22123,41611,40500,31389,141147,28542,1753,84129,15679,47156
01/12/2004,2004,1,12,2,2,0,1,472953,22817,41801,39073,30494,152325,27710,890,88543,17079,51470
01/13/2004,2004,1,13,2,3,0,1,486791,24525,42425,41215,30849,156350,29864,1651,90513,17357,52266
01/14/2004,2004,1,14,2,4,0,1,522903,23980,44967,46035,34375,167746,35504,1622,95505,18748,54130
01/15/2004,2004,1,15,2,5,0,1,527273,24705,45160,46504,35118,169576,35512,1219,94450,19111,54552
01/16/2004,2004,1,16,2,6,0,1,519701,24542,44810,45125,34728,166957,34918,1141,94197,19209,53921
01/17/2004,2004,1,17,2,7,1,0,473418,23670,44746,40336,31397,148237,30721,1050,86241,17393,49577
01/18/2004,2004,1,18,3,1,1,0,441646,23882,42544,37126,29268,137581,27518,824,79520,15938,47034
01/19/2004,2004,1,19,3,2,0,1,495996,25220,42980,41402,31364,160460,31717,1008,90460,18442,53970
01/20/2004,2004,1,20,3,3,0,1,500196,24641,41855,42586,31518,162988,31818,820,91866,18179,54242
01/21/2004,2004,1,21,3,4,0,1,500468,23442,42874,42112,31557,162587,32312,1563,92988,18477,54372
01/22/2004,2004,1,22,3,5,0,1,494713,25614,42599,39438,31456,160100,30363,1545,91435,18951,54462
01/23/2004,2004,1,23,3,6,0,1,503673,24904,43746,41729,32767,161961,32144,1557,93761,18831,54685
01/24/2004,2004,1,24,3,7,1,0,477595,24573,43627,41561,32739,149288,32118,1109,86127,17516,49468
01/25/2004,2004,1,25,4,1,1,0,473201,24578,44866,41899,33019,144667,31683,1232,84687,17216,48978
01/26/2004,2004,1,26,4,2,0,1,523476,24436,44395,45656,34667,167520,34495,1589,95831,18963,55406
01/27/2004,2004,1,27,4,3,0,1,511227,24031,41928,45126,34128,164255,33110,2042,93742,19112,53445
01/28/2004,2004,1,28,4,4,0,1,492987,24564,41744,41344,31163,158948,29783,1539,92881,18404,53260
01/29/2004,2004,1,29,4,5,0,1,495957,24635,40823,40705,31596,161124,30308,1528,93965,18687,54480
01/30/2004,2004,1,30,4,6,0,1,498776,24306,42076,42416,31495,161985,30821,1443,94374,19331,53954
01/31/2004,2004,1,31,4,7,1,0,459946,23882,41318,39270,30288,145079,28999,999,86086,17125,49351
02/01/2004,2004,2,1,5,1,1,0,436716,23654,39410,37982,28775,135636,27513,726,81402,16003,47376
02/02/2004,2004,2,2,5,2,0,1,474164,22848,38618,39482,29807,154449,29638,1135,90374,18017,52270
02/03/2004,2004,2,3,5,3,0,1,469334,22977,37828,39320,29752,153625,28094,845,88494,17682,51861
02/04/2004,2004,2,4,5,4,0,1,470342,23249,39712,37704,27841,153853,28340,409,88747,17821,51824
02/05/2004,2004,2,5,5,5,0,1,477721,23929,39002,38330,28732,155549,28983,896,88324,18845,53822
02/06/2004,2004,2,6,5,6,0,1,472329,23374,38794,39384,30215,153043,28907,1713,87363,17928,51924
02/07/2004,2004,2,7,5,7,1,0,437350,23485,39251,36143,28648,138964,26724,1731,81008,16717,47529
02/08/2004,2004,2,8,6,1,1,0,437722,22736,39630,37458,28675,138332,27763,1784,81417,16439,46791
02/09/2004,2004,2,9,6,2,0,1,470759,23288,38517,38157,28682,154840,28328,1790,90161,18033,52226
02/10/2004,2004,2,10,6,3,0,1,462878,23156,38203,36954,27245,153480,26604,1700,88656,17886,51735
02/11/2004,2004,2,11,6,4,0,1,468110,23218,38916,37887,28154,153991,27946,1652,89256,17725,51717
02/12/2004,2004,2,12,6,5,0,1,468270,23181,39207,38382,29273,153586,27989,1535,88365,17817,51270
02/13/2004,2004,2,13,6,6,0,1,462466,23177,38428,37896,28518,150896,26826,1381,88775,18095,51336
02/14/2004,2004,2,14,6,7,1,0,438082,23869,40292,35894,27726,138557,25701,1464,83312,16387,47956
02/15/2004,2004,2,15,7,1,1,0,444662,24018,40556,38651,30369,137852,28502,1677,83348,16108,46897
02/16/2004,2004,2,16,7,2,0,1,486295,24447,40564,40082,31812,156518,29982,1664,92335,18813,53012
02/17/2004,2004,2,17,7,3,0,1,477218,23475,39190,39241,31216,153459,28914,1593,90703,18172,52505
02/18/2004,2004,2,18,7,4,0,1,468284,22709,37619,37031,30263,151862,27314,1461,89785,18168,52773
02/19/2004,2004,2,19,7,5,0,1,452531,23269,35915,34653,28625,148278,25788,1476,87574,17084,50787
02/20/2004,2004,2,20,7,6,0,1,450769,23104,37072,34412,28204,148047,25620,1325,87404,16819,49961
02/21/2004,2004,2,21,7,7,1,0,419232,22716,36053,33059,25784,134091,23634,1307,81192,15746,46908
02/22/2004,2004,2,22,8,1,1,0,403414,22588,35524,32127,25338,127096,22639,1362,78594,14919,44347
02/23/2004,2004,2,23,8,2,0,1,452224,22580,36834,34890,28437,147838,26401,1282,87958,16749,50509
02/24/2004,2004,2,24,8,3,0,1,455351,22093,37972,34800,29534,149679,25734,1841,87488,16777,50636
