year,month,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,1,19848.673387,977.62365591,1745.4206989,1699.7903226,1291.125,6332.1962366,1250.5658602,59.97311828,3678.6680108,723.41263441,2121.1223118
2004,2,18804.70546,957.1566092,1588.6393678,1514.3175287,1191.2902299,6081.3793103,1112.341954,58.452586207,3588.7485632,706.65517241,2077.716954
2004,3,17775.055108,952.13978495,1519.8602151,1361.5067204,1038.0833333,5812.1962366,968.99327957,53.288978495,3485.9704301,653.56989247,1982.4153226
2004,4,16377.961111,871.00277778,1408.5638889,1318.0583333,929.78611111,5390.6486111,851.92083333,34.052777778,3298.5375,554.01527778,1777.0708333
2004,5,15907.619624,877.06048387,1309.4905914,1213.4905914,863.66666667,5298.4099462,800.34408602,30.22983871,3184.2446237,583.08064516,1750.8951613
2004,6,16730.395833,889.92916667,1246.5611111,1213.3583333,978.66388889,5644.1333333,820.71388889,31.3375,3272.7347222,611.39027778,1980.175
2004,7,17163.958333,880.1827957,1185.7177419,1230.1733871,1057.625,5867.5752688,878.91935484,36.356182796,3348.7473118,607.98924731,2030.8145161
2004,8,17132.119624,864.31451613,1240.6760753,1227.3561828,1027.0174731,5766.8185484,874.0188172,26.860215054,3416.5672043,602.11021505,2056.7392473
2004,9,17180.120833,861.36111111,1339.6472222,1109.6972222,1093.0833333,5761.6,858.45277778,14.165277778,3381.1263889,621.025,2082.2958333
2004,10,16418.233871,908.56048387,1390.9852151,1138.8467742,1011.8212366,5417.1317204,864.02284946,16.713709677,3204.7580645,542.83870968,1885.9543011
2004,11,17501.4,952.44722222,1462.6125,1307.4777778,1084.0277778,5719.4319444,948.19305556,44.136111111,3430.0458333,571.20555556,1960.8597222
2004,12,18792.630376,973.78494624,1594.9341398,1559.547043,1189.3481183,6008.3965054,1119.3924731,43.75672043,3666.3561828,586.25268817,2033.952957
2005,1,19649.435484,1007.1236559,1639.9663978,1645.7688172,1237.2526882,6303.9731183,1196.1115591,56.981182796,3822.1814516,629.75268817,2104.469086
2005,2,18946.183036,990.69494048,1608.8154762,1483.2723214,1190.7827381,6187.422619,1106.6875,48.958333333,3664.1949405,607.4985119,2068.9315476
2005,3,18137.473118,958.28091398,1575.8575269,1363.5712366,1106.9422043,5920.2647849,1030.9744624,52.72983871,3554.8857527,596.65456989,1983.1586022
2005,4,16427.584722,882.96527778,1380.3666667,1288.575,885.06944444,5467.2972222,869.91111111,44.241666667,3213.4652778,569.67222222,1835.7222222
2005,5,15786.055108,847.46774194,1316.1236559,1161.3077957,872.3172043,5307.2795699,806.16935484,26.412634409,3091.969086,539.87365591,1792.6680108
2005,6,18748.980556,863.7625,1308.2375,1305.1180556,1124.5222222,6579.9805556,944.12222222,27.304166667,3681.7638889,717.05138889,2172.8736111
2005,7,18944.052419,827.64650538,1317.6276882,1337.0537634,1167.9475806,6674.0295699,991.58333333,40.806451613,3628.9408602,759.88575269,2161.9879032
2005,8,18859.260753,859.58602151,1401.797043,1295.7379032,1122.2768817,6480.9569892,958.80913978,47.827956989,3673.1142473,718.22849462,2251.9677419
2005,9,17434.191667,827.08611111,1385.8680556,1180.3166667,1029.675,5923.0458333,866.01111111,56.455555556,3489.9194444,617.68611111,2015.8027778
2005,10,16380.817204,811.83602151,1302.7365591,1178.7379032,985.69758065,5487.7096774,865.64784946,44.838709677,3308.3319892,555.07930108,1841.6155914
2005,11,17278.541667,840.95833333,1411.3055556,1283.2,1071.9944444,5767.0097222,975.20277778,44.313888889,3437.1083333,584.13055556,1852.1083333
2005,12,18475.321237,845.58736559,1516.672043,1489.1169355,1141.858871,6054.7231183,1125.4758065,75.877688172,3588.1841398,628.56048387,1987.6317204
2006,1,18274.422043,840.41397849,1540.8319892,1469.905914,1129.2715054,6015.6935484,1067.5295699,53.935483871,3596.6599462,610.59005376,1931.0577957
2006,2,18702.752976,855.0952381,1592.1949405,1502.921131,1153.9345238,6159.3943452,1119.2544643,49.075892857,3645.7261905,612.70238095,1955.3556548
2006,3,17741.932796,793.24327957,1484.7526882,1354.686828,1071.2284946,5881.5752688,1023.0658602,62.092741935,3462.6263441,588.34543011,1959.4274194
2006,4,15990.072222,714.35138889,1371.2444444,1276.3430556,863.25277778,5334.9611111,844.38194444,48.240277778,3116.8138889,548.82638889,1813.9694444
2006,5,16031.556452,692.34005376,1266.5672043,1173.1922043,942.75537634,5515.5819892,817.84408602,46.342741935,3147.9556452,569.0094086,1848.9502688
2006,6,17419.355556,693.48055556,1307.7361111,1241.1416667,1058.0777778,6081.3069444,894.12916667,64.302777778,3414.8680556,667.8875,1965.4444444
2006,7,18620.455645,714.59543011,1254.3682796,1310.2284946,1173.3494624,6569.6263441,964.80510753,60.803763441,3616.1048387,746.17204301,2151.4126344
2006,8,17887.231183,697.07795699,1360.6733871,1242.7889785,1072.7540323,6220.9287634,918.33467742,47.837365591,3521.2432796,681.97983871,2069.5067204
2006,9,16001.4375,642.80694444,1347.1736111,1164.5888889,982.90555556,5410.3666667,840.48055556,43.530555556,3180.0361111,592.30138889,1770.6833333
2006,10,16078.369624,611.47580645,1337.6908602,1207.6465054,968.59139785,5497.6814516,867.68682796,48.209677419,3202.8104839,558.94623656,1690.3387097
2006,11,16914.915278,681.92222222,1407.7791667,1293.7555556,995.64861111,5737.8513889,919.83472222,50.922222222,3303.1472222,610.89444444,1837.1583333
2006,12,17317.44086,691.47043011,1449.0107527,1400.9018817,1049.5752688,5749.2688172,1003.5645161,50.455645161,3332.0591398,621.51612903,1861.9892473
2007,1,18492.06586,726.06854839,1543.5483871,1525.3104839,1145.0228495,6055.5456989,1116.2204301,61.934139785,3535.4489247,656.48924731,1951.7889785
2007,2,19401.157738,741.30505952,1630.1026786,1554.4151786,1249.047619,6412.2008929,1218.2529762,68.915178571,3652.0386905,687.69047619,2004.4017857
2007,3,17732.150538,661.90994624,1510.4663978,1382.5201613,1132.7083333,5883.8400538,1052.0228495,59.325268817,3381.5080645,644.49865591,1873.2930108
2007,4,16427.2875,632.94305556,1392.6847222,1176.0291667,974.52777778,5640.8180556,883.86666667,60.722222222,3178.0097222,585.90555556,1789.5958333
