year,month,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,1,24937,1132,1987,2265,1677,8213,1743,101,4548,937,2625
2004,2,22608,1082,1782,1976,1467,7503,1449,98,4282,891,2506
2004,3,21634,1082,1715,1910,1348,7285,1326,114,4175,804,2414
2004,4,19911,977,1724,1766,1238,6759,1193,108,3998,715,2213
2004,5,20327,977,1526,1494,1255,7365,1072,89,4073,795,2283
2004,6,23163,1005,1460,1703,1447,8661,1209,65,4567,933,2850
2004,7,23976,981,1477,1686,1482,8886,1339,104,4692,919,2917
2004,8,23159,986,1445,1669,1427,8412,1251,66,4575,893,2843
2004,9,21911,965,1514,1791,1708,7774,1165,42,4269,836,2718
2004,10,19829,995,1756,1566,1468,6886,1120,46,3933,1321,2263
2004,11,22066,1104,1739,1772,1436,7353,1343,96,4351,729,2432
2004,12,24979,1116,2001,2508,1767,7966,1743,69,4862,786,2611
2005,1,24362,1149,1825,2276,1592,8082,1651,124,4792,788,2592
2005,2,22322,1079,1770,1875,1526,7520,1447,145,4734,753,2445
2005,3,22724,1074,1788,1886,1483,7513,1446,85,4750,761,2425
2005,4,19343,993,1545,1639,1251,6693,1180,151,3825,1175,2187
2005,5,19007,975,1509,1520,1203,6722,1044,68,3689,697,2154
2005,6,26157,987,1557,1864,1701,9478,1424,60,5064,1091,3115
2005,7,26160,984,1541,1923,1723,9737,1472,182,5062,1210,3063
2005,8,25816,953,1587,1803,1652,9367,1443,127,4994,1069,3113
2005,9,23914,939,1517,1631,1604,8587,1275,126,4704,871,2827
2005,10,20752,936,1447,1532,1346,7444,1176,89,4153,723,2466
2005,11,22564,968,1702,1833,1449,7638,1430,82,4507,735,2335
2005,12,23766,968,1782,2109,1515,7954,1604,153,4690,795,2548
2006,1,23052,946,1744,2039,1442,7778,1462,116,4485,757,2437
2006,2,22321,969,1759,1888,1470,7550,1435,98,4364,749,2329
2006,3,21772,906,1710,1773,1401,7345,1366,94,4243,710,2348
2006,4,19582,853,1582,1671,1119,6698,1163,90,3879,788,2179
2006,5,24857,792,1424,1815,1521,9390,1347,99,4925,1678,2821
2006,6,23349,801,1529,1665,1477,8699,1281,116,4559,936,2650
2006,7,26092,854,1496,1822,1728,9709,1490,114,5027,1099,3113
2006,8,27005,816,1596,1945,1759,10090,1518,97,5120,1083,3118
2006,9,19976,765,1501,1577,1308,7311,1090,80,3981,745,3520
2006,10,19590,788,1509,1636,1216,6883,1149,82,3920,759,2062
2006,11,21267,805,1583,1780,1313,7318,1312,106,4159,754,2257
2006,12,22941,867,1661,1948,1400,7772,1509,86,4374,837,2470
2007,1,23537,884,1826,2018,1523,7900,1588,115,4423,811,2439
2007,2,23935,903,1874,2068,1559,8048,1609,110,4563,830,2467
2007,3,22969,814,1858,2053,1546,7830,1523,133,4328,826,2328
2007,4,20016,764,1627,1597,1250,7009,1234,105,3849,791,2126
2007,5,21490,735,1463,1476,1457,7820,1185,143,4224,829,2645
2007,6,25737,741,1392,1792,1683,9679,1482,112,5023,1021,3015
2007,7,24561,747,1375,1688,1586,9316,1419,148,4820,974,2916
2007,8,25584,729,1487,1751,1708,9634,1495,118,4979,1019,2989
2007,9,24046,714,1533,1621,1682,8873,1335,149,4713,957,2740
