year,month,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,1,13219,713,1334,1018,811,3966,658,8,2501,454,1450
2004,2,14243,805,1389,1080,849,4254,730,-63,2856,499,1575
2004,3,13238,811,1282,920,759,4010,608,-1,2667,450,1419
2004,4,12427,726,1191,856,710,3850,533,12,2488,398,1311
2004,5,11983,759,1089,708,550,3642,500,10,2373,405,1299
2004,6,12059,766,989,868,647,3711,500,11,2388,387,1437
2004,7,12385,760,964,877,694,3916,516,-5,2335,390,1416
2004,8,12223,707,1045,836,657,3751,543,-33,2355,411,1482
2004,9,12285,631,1158,436,622,3737,546,-98,2393,438,1490
2004,10,12343,796,579,586,684,3650,564,-39,2324,363,1382
2004,11,12969,769,1237,892,802,3920,616,-22,2527,413,1442
2004,12,14169,675,1378,962,752,4359,721,-7,2728,396,1529
2005,1,13545,865,1384,984,851,4221,720,-2,2530,415,1489
2005,2,14854,860,1333,1071,902,4574,742,1,2869,454,1629
2005,3,13959,800,1272,945,809,4197,719,-9,2730,437,1481
2005,4,12279,741,1199,863,553,3919,556,-13,2362,424,1355
2005,5,11950,710,1101,799,560,3665,526,-37,2265,364,1336
2005,6,12066,720,1027,848,637,3859,526,3,2425,473,1302
2005,7,12109,663,1126,863,726,3907,541,16,2340,439,1310
2005,8,13487,712,1244,922,708,4351,597,-17,2593,451,1586
2005,9,12541,591,1227,874,675,3914,559,20,2586,401,1462
2005,10,12112,693,1152,823,677,3691,560,-3,2375,401,1328
2005,11,12548,702,1188,938,731,3881,596,-19,2484,410,1333
2005,12,12673,628,1178,943,804,3993,719,29,2420,406,1441
2006,1,13644,669,1271,1042,809,4271,700,17,2668,471,1435
2006,2,14051,729,1363,1058,814,4423,739,-8,2524,477,1459
2006,3,13274,673,1269,987,755,4128,677,40,2584,424,1451
2006,4,12020,599,1164,893,602,3734,542,2,2313,393,1358
2006,5,11812,585,1060,816,673,3710,505,16,2315,415,1347
2006,6,11957,595,987,850,708,3730,537,11,2307,450,1362
2006,7,12470,475,1031,896,717,4049,572,37,2471,474,1427
2006,8,12545,589,1179,825,677,3991,558,22,2525,462,1425
2006,9,11796,523,990,819,698,3725,560,2,2261,434,1262
2006,10,11621,468,1043,830,688,3740,551,1,2308,409,1246
2006,11,12720,543,1252,907,681,4083,582,-12,2451,443,1365
2006,12,12246,465,1125,890,786,3923,639,20,2292,438,1366
2007,1,12941,554,1250,973,745,4027,630,21,2330,480,1299
2007,2,14894,624,1361,1151,963,4783,860,46,2764,560,1494
2007,3,13331,547,1246,960,823,4181,659,9,2560,415,1431
2007,4,11819,491,1132,706,706,3852,528,4,2282,391,1350
2007,5,11814,376,1039,772,668,3654,545,27,2286,440,1320
2007,6,11699,516,925,824,700,3806,531,-3,2305,455,1375
2007,7,11710,475,945,821,699,3749,557,63,2282,440,1312
2007,8,12293,502,1162,842,730,3897,593,60,2375,494,1335
2007,9,11867,419,1057,810,731,3773,559,69,2299,422,1274
2007,10,11788,447,1180,802,711,3759,550,40,2279,370,1120
2007,11,12371,533,1227,911,787,4032,614,30,2473,417,1188
2007,12,13146,525,1271,940,858,4226,742,27,2481,429,1272
2008,1,13556,568,1325,923,757,4376,684,35,2502,432,1346
2008,2,14295,587,1388,1074,893,4408,760,35,2566,462,1421
