year,month,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,1,14767413,727352,1298593,1264644,960597,4711154,930421,44620,2736929,538219,1578115
2004,2,13088075,666181,1105693,1053965,829138,4232640,774190,40683,2497769,491832,1446091
2004,3,13224641,708392,1130776,1012961,772334,4324274,720931,39647,2593562,486256,1474917
2004,4,11792132,627122,1014166,949002,669446,3881267,613383,24518,2374947,398891,1279491
2004,5,11835269,652533,974261,902837,642568,3942017,595456,22491,2369078,433812,1302666
2004,6,12045885,640749,897524,873618,704638,4063776,590914,22563,2356369,440201,1425726
2004,7,12769985,654856,882174,915249,786873,4365476,653916,27049,2491468,452344,1510926
2004,8,12746297,643050,923063,913153,764101,4290513,650270,19984,2541926,447970,1530214
2004,9,12369687,620180,964546,798982,787020,4148352,618086,10199,2434411,447138,1499253
2004,10,12215166,675969,1034893,847302,752795,4030346,642833,12435,2384340,403872,1403150
2004,11,12601008,685762,1053081,941384,780500,4117991,682699,31778,2469633,411268,1411819
2004,12,13981717,724496,1186631,1160303,884875,4470247,832828,32555,2727769,436172,1513261
2005,1,14619180,749300,1220135,1224452,920516,4690156,889907,42394,2843703,468536,1565725
2005,2,12731835,665747,1081124,996759,800206,4157948,743694,32900,2462339,408239,1390322
2005,3,13494280,712961,1172438,1014497,823565,4404677,767045,39231,2644835,443911,1475470
2005,4,11827861,635735,993864,927774,637250,3936454,626336,31854,2313695,410164,1321720
2005,5,11744825,630516,979196,864013,649004,3948616,599790,19651,2300425,401666,1333745
2005,6,13499266,621909,941931,939685,809656,4737586,679768,19659,2650870,516277,1564469
2005,7,14094375,615769,980315,994768,868953,4965478,737738,30360,2699932,565355,1608519
2005,8,14031290,639532,1042937,964029,834974,4821832,713354,35584,2732797,534362,1675464
2005,9,12552618,595502,997825,849828,741366,4264593,623528,40648,2512742,444734,1451378
2005,10,12187328,604006,969236,876981,733359,4082856,644042,33360,2461399,412979,1370162
2005,11,12440550,605490,1016140,923904,771836,4152247,702146,31906,2474718,420574,1333518
2005,12,13745639,629117,1128404,1107903,849543,4504714,837354,56453,2669609,467649,1478798
2006,1,13596170,625268,1146379,1093610,840178,4475676,794242,40128,2675915,454279,1436707
2006,2,12568250,574624,1069955,1009963,775444,4139113,752139,32979,2449928,411736,1313999
2006,3,13199998,590173,1104656,1007887,796994,4375892,761161,46197,2576194,437729,1457814
2006,4,11512852,514333,987296,918967,621542,3841172,607955,34733,2244106,395155,1306058
2006,5,11927478,515101,942326,872855,701410,4103593,608476,34479,2342079,423343,1375619
2006,6,12541936,499306,941570,893622,761816,4378541,643773,46298,2458705,480879,1415120
2006,7,13853619,531659,933250,974810,872972,4887802,717815,45238,2690382,555152,1600651
2006,8,13308100,518626,1012341,924635,798129,4628371,683241,35591,2619805,507393,1539713
2006,9,11521035,462821,969965,838504,707692,3895464,605146,31342,2289626,426457,1274892
2006,10,11962307,454938,995242,898489,720632,4090275,645559,35868,2382891,415856,1257612
2006,11,12178739,490984,1013601,931504,716867,4131253,662281,36664,2378266,439844,1322754
2006,12,12884176,514454,1078064,1042271,780884,4277456,746652,37539,2479052,462408,1385320
2007,1,13758097,540195,1148400,1134831,851897,4505326,830468,46079,2630374,488428,1452131
2007,2,13037578,498157,1095429,1044567,839360,4308999,818666,46311,2454170,462128,1346958
2007,3,13192720,492461,1123787,1028595,842735,4377577,782705,44138,2515842,479507,1393730
2007,4,11827647,455719,1002733,846741,701660,4061389,636384,43720,2288167,421852,1288509
2007,5,11818634,446572,949471,824369,706427,4090591,604238,59297,2295825,443085,1335440
2007,6,12692547,448411,873714,874290,783014,4504088,663400,64092,2467338,485827,1470077
2007,7,12840811,460624,877931,891596,799434,4540362,686757,68046,2488115,489067,1482701
2007,8,13454570,459562,978519,930857,834769,4756500,718611,70160,2596619,540750,1515190
2007,9,11916219,422982,949654,822770,747452,4136041,613682,74943,2348908,445722,1331318
2007,10,11908105,436664,1021500,814151,759559,4113938,625332,46306,2346098,426670,1260609
2007,11,12350431,476699,1051846,926320,802395,4218620,713284,53241,2399126,426351,1242694
2007,12,13407761,521835,1157959,1060031,912728,4463167,824793,53224,2532551,447161,1348331
2008,1,13609986,524007,1156848,1121006,840900,4538355,821717,48981,2599903,450026,1370544
2008,2,12896823,500581,1098011,1047806,799092,4274063,791538,52422,2470389,431646,1312752
2008,3,13003771,505774,1111251,1023312,807201,4350679,778757,60041,2486879,435623,1317631
2008,4,11520396,474486,988712,923924,631594,3901926,604254,46543,2252033,379402,1197482
2008,5,11407140,448744,963853,862857,639174,3918206,601728,39903,2216721,397571,1200676
2008,6,12189130,442110,906587,866003,752656,4290026,618193,44342,2369679,452840,1361728
2008,7,13155660,463222,929270,912135,800221,4638677,695921,48155,2562214,502416,1523963
2008,8,12548525,463541,919200,875233,769280,4364876,647821,43986,2429559,477390,1420737
