year,week,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,0,15742.125,793.125,1499.6666667,1366.2777778,1030.125,4902.1111111,907,57.25,2984.1944444,556.94444444,1719.5138889
2004,1,19693.821429,959.38690476,1712.6309524,1697.1071429,1256.2678571,6293.577381,1221.172619,73.654761905,3695.0357143,704.58928571,2107.922619
2004,2,20568.815476,990.25,1818.5714286,1778.5,1359.2261905,6561.5357143,1326.0178571,55.511904762,3771.297619,741.52380952,2161.1428571
2004,3,20323.136905,1025.452381,1787.0535714,1702.1071429,1313.5059524,6517.6488095,1297.5595238,50.154761905,3727.125,751.98809524,2191.8630952
2004,4,20568.869048,1014.4761905,1768.75,1764.3809524,1347.3571429,6568.9166667,1304.7559524,61.738095238,3818.8452381,766.89285714,2195.6785714
2004,5,19273.547619,973.30952381,1622.7083333,1597.2916667,1212.9166667,6220.9464286,1179.7559524,44.375,3605.4285714,732.2202381,2122.6547619
2004,6,19096.946429,968.00595238,1626.1488095,1563.2619048,1180.1964286,6212.3928571,1137.8392857,67.297619048,3630.6071429,728.46428571,2101.375
2004,7,19041.613095,974.63095238,1589.1011905,1530.5297619,1227.8154762,6131.5892857,1129.4880952,62.517857143,3644.8869048,719.70238095,2100.2559524
2004,8,18204.333333,921.98214286,1533.422619,1403.875,1162.8154762,5915.5952381,1038.5297619,62.81547619,3531.4583333,664.39880952,2028.4404762
2004,9,17508.119048,941.17261905,1502.1845238,1276.452381,1099.6666667,5708.7142857,943.20833333,38.345238095,3481.8690476,642.125,1972.0833333
2004,10,17998.541667,966.93452381,1548.1904762,1383.8154762,1029.1369048,5890.922619,995.67857143,49.714285714,3513.9821429,663.06547619,2030.3392857
2004,11,18273.130952,960.0297619,1545.9047619,1463.5833333,1021.6964286,5936.8154762,1024.9166667,84.446428571,3500.2321429,670.83928571,2039.5714286
2004,12,17624.809524,933.69047619,1529.0535714,1359.375,1049.8869048,5769.9107143,960.51190476,47.93452381,3467.9404762,646.17857143,1928.125
2004,13,16836.011905,917.81547619,1418.5714286,1307.8035714,949.17857143,5544.8690476,863.13690476,36.791666667,3377.2797619,615.66666667,1863.1666667
2004,14,16566.345238,863.71428571,1435.7142857,1411.7083333,953.33333333,5388.4345238,915.46428571,40.232142857,3273.7440476,555.38095238,1791.8452381
2004,15,16270.047619,888.98809524,1361.2380952,1301.1428571,934.10119048,5371.6666667,835.86309524,34.101190476,3302.4642857,546.42857143,1766.1369048
2004,16,15958.25,857.17261905,1397.5654762,1233.9702381,913.73214286,5278.5059524,793.33333333,29.535714286,3241.3571429,546.71428571,1737.8392857
2004,17,16277.5,871.89285714,1438.5297619,1281.6071429,901.6547619,5348.452381,836.92857143,30.708333333,3294.297619,537.38690476,1748.3154762
2004,18,16184.267857,879.76190476,1404.3809524,1278.7321429,836.875,5345.7142857,843.78571429,33.80952381,3274.4642857,579.51785714,1727.1071429
2004,19,16384.190476,895.70238095,1260.7321429,1219.9583333,895.16666667,5565.672619,786.48809524,25.047619048,3319.1547619,607.32738095,1809.2916667
2004,20,15885.464286,851.05357143,1273.9107143,1158.202381,905.35119048,5351.7440476,778.64880952,31.291666667,3160.75,602.60119048,1771.327381
2004,21,15524.642857,884.11904762,1306.0357143,1209.0357143,834.70833333,5079.6428571,813.74404762,32.327380952,3060.4642857,562.77380952,1729.9464286
2004,22,15780.904762,871.99404762,1255.9345238,1204.6904762,850.78571429,5294.077381,779.20238095,26.291666667,3117.6845238,587.33928571,1795.8630952
2004,23,17145.303571,896.33928571,1242.702381,1222.6309524,983.88095238,5847.9880952,840.38095238,28.44047619,3372.6190476,648.97619048,2033.4642857
2004,24,17300.053571,909.32738095,1249.9880952,1256.0119048,1067.625,5814.8214286,845.26190476,29.476190476,3339.0178571,647.95238095,2099.5238095
2004,25,16489.613095,888.85714286,1267.0654762,1193.8214286,974.85119048,5542.6071429,807.61309524,29.154761905,3213.4464286,572.44047619,1935.0178571
2004,26,16225.422619,863.60119048,1208.4821429,1158.5238095,959.22619048,5400.8571429,812.48214286,44.470238095,3188.5535714,562.01785714,1957.4642857
2004,27,16620.678571,861.75595238,1176.1011905,1208.9642857,1060.4702381,5597.125,847.4702381,45.101190476,3257.7202381,567.80952381,1972.8154762
