year,week,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,0,19158,915,1660,1803,1299,6160,1192,71,3626,671,2017
2004,1,23957,1078,1948,2260,1562,7878,1635,101,4500,860,2550
2004,2,24937,1099,1987,2265,1677,8213,1743,93,4482,937,2574
2004,3,23740,1132,1919,2110,1543,7874,1587,81,4373,901,2585
2004,4,24843,1099,1954,2232,1631,8104,1668,100,4548,910,2625
2004,5,22608,1070,1779,1942,1447,7501,1443,95,4234,891,2506
2004,6,22141,1048,1782,1918,1370,7443,1400,87,4242,876,2420
2004,7,22591,1082,1770,1976,1467,7503,1449,80,4282,874,2453
2004,8,21397,1019,1695,1762,1354,7159,1301,98,4121,797,2364
2004,9,20576,1047,1661,1565,1316,6948,1195,51,4074,784,2279
2004,10,21033,1082,1715,1711,1232,7074,1262,114,4134,801,2330
2004,11,21634,1053,1685,1910,1218,7285,1305,106,4149,804,2414
2004,12,21411,1045,1701,1819,1348,7153,1326,84,4175,791,2276
2004,13,19867,1017,1548,1618,1177,6723,1145,49,3998,734,2213
2004,14,19911,957,1724,1766,1238,6759,1193,67,3902,687,2176
2004,15,19287,977,1539,1641,1135,6590,1061,50,3927,663,2122
2004,16,18456,947,1543,1459,1111,6382,980,43,3752,647,2042
2004,17,18934,976,1591,1591,1114,6378,1079,108,3794,625,2031
2004,18,18664,962,1526,1494,1065,6363,1072,48,3720,666,2004
2004,19,20327,977,1402,1442,1188,7365,1060,37,4073,795,2283
2004,20,19003,949,1434,1372,1255,6691,1004,89,3748,726,2156
2004,21,18395,956,1424,1435,1045,6461,1052,55,3648,680,2069
2004,22,18593,969,1402,1490,1026,6534,1000,37,3675,690,2101
2004,23,23163,1005,1378,1566,1403,8661,1209,55,4567,933,2850
2004,24,21921,990,1375,1703,1447,7779,1113,39,4259,905,2626
2004,25,20212,968,1460,1482,1270,7300,1000,36,3881,736,2405
2004,26,19602,943,1322,1402,1199,6853,1007,65,3845,724,2533
2004,27,19990,935,1321,1473,1419,6958,1092,88,3979,720,2462
2004,28,22142,981,1477,1523,1480,8048,1259,104,4267,793,2746
2004,29,23976,960,1322,1686,1482,8886,1339,44,4692,919,2917
2004,30,21790,981,1301,1555,1439,7810,1189,68,4226,827,2531
2004,31,23159,986,1351,1545,1390,8412,1231,43,4575,893,2843
2004,32,21171,940,1366,1530,1347,7722,1134,45,4228,752,2498
2004,33,20570,925,1361,1669,1328,7122,1095,45,4147,746,2459
2004,34,22613,923,1445,1596,1427,7972,1251,66,4475,858,2801
2004,35,21467,973,1509,1420,1455,7540,1165,38,4253,778,2645
2004,36,21067,942,1457,1448,1311,7490,1102,42,4228,748,2604
2004,37,21911,938,1482,1419,1708,7774,1129,40,4269,836,2718
2004,38,21545,963,1480,1788,1667,7760,1134,28,4085,803,2524
2004,39,20063,988,1514,1791,1182,6937,1053,29,3872,725,2344
2004,40,19594,992,1756,1427,1224,6724,1080,34,3807,670,2209
2004,41,19478,974,1505,1443,1211,6550,1084,46,3772,640,2212
2004,42,19829,974,1556,1566,1243,6886,1120,37,3933,1321,2263
2004,43,19538,995,1555,1446,1468,6718,1106,37,3910,635,2189
2004,44,20768,1001,1638,1712,1316,7040,1190,66,4054,707,2284
2004,45,21136,1023,1636,1772,1311,7126,1249,77,4090,729,2370
2004,46,20691,1031,1620,1611,1317,7040,1176,80,4127,693,2327
2004,47,21881,1104,1739,1765,1436,7284,1343,96,4351,700,2432
2004,48,22118,1082,1726,1654,1715,7368,1367,60,4347,716,2430
2004,49,23445,1080,1750,2139,1761,7588,1445,56,4625,739,2486
2004,50,23431,1108,1790,2027,1767,7756,1519,61,4620,786,2557
2004,51,24979,1116,2001,2508,1667,7966,1743,69,4862,786,2611
2004,52,21348,1009,1737,2141,1478,6634,1469,62,4248,675,2236
2005,0,18386,990,1651,1644,1143,5751,1171,57,3588,598,1966
2005,1,23233,1108,1777,2029,1496,7566,1460,80,4667,737,2436
2005,2,22640,1099,1804,1996,1423,7490,1404,87,4501,755,2427
2005,3,24362,1149,1809,2276,1592,7962,1651,88,4792,788,2592
2005,4,24353,1119,1825,2163,1537,8082,1621,124,4689,782,2553
2005,5,22629,1032,1715,1927,1411,7520,1410,77,4734,725,2466
2005,6,22322,1070,1770,1804,1368,7507,1379,64,4335,722,2414
