year,week,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,0,13219,713,1334,1018,811,3966,658,40,2501,454,1450
2004,1,13276,821,1485,1018,839,3988,670,46,2562,468,1492
2004,2,16230,857,1600,1271,1049,4909,864,24,3023,580,1740
2004,3,16021,893,1634,1349,1067,4805,942,19,2897,555,1699
2004,4,17216,916,1607,1397,1107,5254,1007,8,3131,600,1813
2004,5,15852,856,1458,1198,968,4834,896,-10,2989,590,1738
2004,6,15953,863,1477,1237,940,4883,855,49,2977,602,1742
2004,7,15033,884,1407,1136,915,4656,763,43,2898,555,1695
2004,8,14807,805,1389,1138,849,4510,790,-63,2900,534,1628
2004,9,14178,835,1317,985,859,4254,687,18,2801,499,1575
2004,10,14311,821,1402,994,845,4304,764,-1,2808,537,1559
2004,11,14646,870,1342,1123,793,4433,759,56,2794,511,1616
2004,12,13395,811,1384,920,759,4143,608,17,2680,502,1471
2004,13,13238,770,1236,928,721,4010,612,18,2667,450,1419
2004,14,12987,775,1275,1043,748,3913,652,19,2556,398,1370
2004,15,12929,791,1241,973,736,4012,564,17,2610,402,1369
2004,16,12427,743,1191,856,720,3850,551,16,2488,432,1311
2004,17,12622,726,1299,895,691,3869,503,12,2510,403,1317
2004,18,12200,762,1283,855,550,3773,549,18,2456,423,1340
2004,19,12705,818,1089,883,577,3930,500,10,2542,405,1299
2004,20,12151,759,1138,708,638,3775,524,13,2423,442,1324
2004,21,11983,775,1127,881,585,3642,563,14,2392,439,1330
2004,22,12024,773,1123,890,647,3725,525,10,2373,431,1335
2004,23,12111,797,1062,868,667,3759,500,15,2445,449,1451
2004,24,12300,825,1076,898,689,3809,515,11,2388,439,1437
2004,25,12059,807,1081,876,668,3723,550,17,2404,387,1450
2004,26,12192,766,989,888,680,3711,550,-5,2402,390,1416
2004,27,12540,760,1031,877,724,3930,542,15,2459,420,1514
2004,28,12385,794,993,885,741,4014,540,3,2335,445,1487
2004,29,12764,768,964,877,709,4056,521,17,2569,435,1511
2004,30,12570,827,1029,912,694,3934,516,1,2527,452,1465
2004,31,12766,767,1045,849,722,4054,558,19,2614,415,1535
2004,32,12237,775,1085,836,701,3781,543,10,2463,441,1482
2004,33,12466,707,1089,872,717,3943,554,-30,2457,411,1496
2004,34,12223,745,1174,896,657,3751,571,-33,2355,432,1483
2004,35,13591,817,1159,815,732,4240,586,-26,2726,456,1610
2004,36,13038,631,1175,762,718,4117,547,-36,2654,438,1580
2004,37,12658,680,1158,610,716,3963,546,-98,2522,446,1534
2004,38,12285,715,1206,436,630,3737,606,-5,2393,446,1490
2004,39,12710,811,1257,891,622,3909,583,-9,2452,418,1527
2004,40,12438,804,579,873,684,3811,599,-38,2379,407,1452
2004,41,12343,812,1220,852,723,3650,606,-39,2324,363,1399
2004,42,12823,796,1194,772,762,3917,639,10,2512,444,1498
2004,43,12876,830,1227,586,778,3926,605,-11,2451,431,1481
2004,44,12563,836,1292,852,790,3868,564,-17,2468,420,1382
2004,45,12969,853,1335,892,823,3920,616,-12,2527,414,1477
2004,46,13865,769,1237,978,802,4252,651,23,2729,423,1514
2004,47,13353,903,1330,979,844,4025,635,5,2561,434,1442
2004,48,13626,913,1392,977,860,4226,687,-22,2692,413,1530
2004,49,14296,906,1409,962,847,4395,732,-7,2811,396,1575
2004,50,14683,935,1457,1146,781,4521,776,8,2761,469,1573
2004,51,15346,679,1475,1302,752,4621,842,37,2921,420,1671
2004,52,14169,675,1378,1118,839,4359,721,33,2728,399,1529
2005,0,13545,865,1387,984,851,4221,720,32,2530,422,1489
2005,1,14277,881,1475,1099,959,4339,740,33,2646,415,1516
2005,2,14759,900,1384,1130,907,4554,743,42,2869,486,1625
2005,3,16030,912,1505,1310,976,4862,945,20,3069,512,1710
2005,4,17332,923,1498,1413,1103,5327,1021,-2,3317,510,1820
2005,5,15386,860,1441,1208,964,4774,835,2,2971,474,1676
2005,6,14854,896,1333,1071,902,4574,742,1,2869,485,1629
2005,7,15438,889,1486,1137,924,4710,801,33,2926,454,1662
2005,8,16028,887,1516,1224,1021,4881,863,40,3055,461,1665
2005,9,16112,800,1488,1186,987,4943,885,38,3124,489,1714
2005,10,14936,856,1460,1114,927,4592,788,38,2902,484,1481
2005,11,15245,812,1458,1102,889,4695,861,40,2917,469,1636
2005,12,14312,855,1425,1001,852,4303,719,40,2745,438,1547
2005,13,13741,858,1272,945,809,4197,682,-9,2631,437,1492
2005,14,13471,797,1275,940,732,4195,669,-8,2579,424,1538
2005,15,12726,741,1231,959,637,3973,606,-13,2488,432,1451
2005,16,12279,743,1199,863,553,3919,556,20,2362,425,1355
2005,17,13102,789,1241,1056,570,4056,634,33,2480,447,1482
2005,18,12487,710,1160,938,560,3969,543,-20,2434,390,1421
2005,19,12111,744,1101,799,577,3786,526,-28,2419,364,1363
2005,20,12293,765,1137,831,657,3814,549,-37,2377,391,1377
2005,21,11950,772,1120,843,644,3665,554,4,2265,427,1336
2005,22,12130,735,1172,822,638,3778,545,4,2320,421,1367
2005,23,12681,720,1027,873,755,3996,584,6,2425,482,1504
2005,24,12728,773,1157,915,645,4131,550,15,2559,486,1400
2005,25,12066,775,1070,848,637,3859,526,11,2453,480,1302
2005,26,12172,687,1202,863,726,3924,552,3,2342,439,1353
2005,27,12109,663,1130,864,730,3907,541,20,2340,463,1310
2005,28,13027,678,1126,976,783,4273,581,22,2492,540,1381
2005,29,14358,725,1186,950,805,4696,640,28,2698,542,1718
2005,30,13403,804,1200,926,763,4298,594,19,2538,455,1623
2005,31,13040,797,1175,907,744,4130,597,27,2486,465,1491
2005,32,13903,755,1272,979,743,4405,605,-17,2606,501,1623
2005,33,14088,759,1265,977,708,4470,623,25,2745,466,1670
2005,34,13981,712,1275,941,751,4378,597,16,2688,467,1647
2005,35,13487,701,1263,908,773,4255,603,26,2715,451,1579
2005,36,12541,591,1289,874,692,3914,570,25,2590,407,1462
2005,37,12743,729,1288,898,731,3985,566,47,2586,423,1538
2005,38,12642,713,1261,880,685,3980,563,30,2627,420,1529
2005,39,12876,757,1203,851,675,4026,559,20,2607,401,1470
2005,40,12227,714,1170,823,677,3806,560,-3,2496,426,1382
2005,41,12112,741,1169,869,683,3691,570,19,2437,424,1328
2005,42,12125,732,1152,867,701,3805,583,26,2375,426,1352
2005,43,12845,693,1188,990,745,4039,639,34,2638,447,1403
2005,44,12872,702,1197,952,731,4028,634,30,2572,428,1438
2005,45,12548,717,1250,938,744,3881,596,34,2503,422,1370
2005,46,12737,775,1221,943,746,3958,650,8,2484,410,1333
2005,47,13285,766,1284,983,775,4189,681,-19,2612,441,1423
2005,48,14003,783,1188,975,761,4446,649,-11,2858,433,1444
2005,49,14745,795,1361,1158,869,4597,835,34,2888,513,1572
2005,50,14695,789,1377,1145,859,4626,825,36,2950,451,1642
2005,51,13769,655,1278,980,850,4287,764,44,2619,455,1518
2005,52,12673,628,1178,943,835,3993,719,32,2420,406,1441
2006,1,13938,669,1422,1080,934,4271,782,38,2668,476,1458
2006,2,14187,783,1339,1042,809,4403,723,32,2788,471,1510
2006,3,14794,724,1419,1102,837,4689,788,41,2946,505,1495
2006,4,14512,740,1307,1078,868,4551,754,17,2886,475,1476
2006,5,13644,729,1271,1064,817,4297,700,-8,2716,475,1435
