year,week,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,0,1133433,57105,107976,98372,74169,352952,65304,4122,214862,40100,123805
2004,1,3308562,161177,287722,285114,211053,1057321,205157,12374,620766,118371,354131
2004,2,3455561,166362,305520,298788,228350,1102338,222771,9326,633578,124576,363072
2004,3,3414287,172276,300225,285954,220669,1094965,217990,8426,626157,126334,368233
2004,4,3455570,170432,297150,296416,226356,1103578,219199,10372,641566,128838,368874
2004,5,3237956,163516,272615,268345,203770,1045119,198199,7455,605712,123013,356606
2004,6,3208287,162625,273193,262628,198273,1043682,191157,11306,609942,122382,353031
2004,7,3198991,163738,266969,257129,206273,1030107,189754,10503,612341,120910,352843
2004,8,3058328,154893,257615,235851,195353,993820,174473,10553,593285,111619,340778
2004,9,2941364,158117,252367,214444,184744,959064,158459,6442,584954,107877,331310
2004,10,3023755,162445,260096,232481,172895,989675,167274,8352,590349,111395,341097
2004,11,3069886,161285,259712,245882,171645,997385,172186,14187,588039,112701,342648
2004,12,2960968,156860,256881,228375,176381,969345,161366,8053,582614,108558,323925
2004,13,2828450,154193,238320,219711,159462,931538,145007,6181,567383,103432,313012
2004,14,2783146,145104,241200,237167,160160,905257,153798,6759,549989,93304,301030
2004,15,2733368,149350,228688,218592,156929,902440,140425,5729,554814,91800,296711
2004,16,2680986,144005,234791,207307,153507,886789,133280,4962,544548,91848,291957
2004,17,2734620,146478,241673,215310,151478,898540,140604,5159,553442,90281,293717
2004,18,2718957,147800,235936,214827,140595,898080,141756,5680,550110,97359,290154
2004,19,2752544,150478,211803,204953,150388,935033,132130,4208,557618,102031,303961
2004,20,2668758,142977,214017,194578,152099,899093,130813,5257,531006,101237,297583
2004,21,2608140,148532,219414,203118,140231,853380,136709,5431,514158,94546,290631
2004,22,2651192,146495,210997,202388,142932,889405,130906,4417,523771,98673,301705
2004,23,2880411,150585,208774,205402,165292,982462,141184,4778,566600,109028,341622
2004,24,2906409,152767,209998,211010,179361,976890,142004,4952,560955,108856,352720
2004,25,2770255,149328,212867,200562,163775,931158,135679,4898,539859,96170,325083
2004,26,2725871,145085,203025,194632,161150,907344,136497,7471,535677,94419,328854
2004,27,2792274,144775,197585,203106,178159,940317,142375,7577,547297,95392,331433
