year,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,17467.813638,913.77982696,1419.1030282,1324.3852459,1062.7145947,5757.9750683,945.5745674,37.400045537,3412.8188752,613.38513206,1978.0998406
2005,17918.840982,879.63287671,1429.6284247,1333.8576484,1077.6515982,6012.2325342,977.70570776,47.260273973,3512.2219178,627.21986301,2005.6267123
2006,17243.682648,718.29760274,1392.0827626,1302.1823059,1038.1917808,5847.5579909,939.3196347,52.175342466,3377.5055936,617.60627854,1904.8240868
2007,17375.013699,646.10513699,1396.2263699,1278.4381279,1093.7705479,5944.8171233,972.4109589,76.433447489,3351.9558219,634.30913242,1879.8730594
2008,16925.743056,637.3981102,1375.1429872,1263.8058971,1037.3724954,5802.6593807,949.25990437,67.178620219,3238.6337659,589.51104281,1809.9797359
2009,15886.249315,499.70844749,1206.3442922,1257.655137,966.90639269,5641.6253425,933.99965753,60.039726027,2954.0179224,533.09098174,1712.6360731
2010,16233.422717,479.25148402,1216.1811644,1120.5571918,1005.2369863,5885.7317352,963.90947489,65.567351598,3165.3885845,566.01084475,1730.2363014
2011,16149.97774,500.70650685,1211.4461187,1118.5724886,1001.294863,5869.2552511,963.52899543,81.510502283,3161.5884703,537.20981735,1646.1232877
2012,16084.586635,484.40778689,1230.9887295,1099.5856102,979.57991803,5888.7640027,947.98098816,80.445696721,3207.3442623,530.08674863,1573.3290073
2013,16065.842922,509.30684932,1279.3917808,932.27465753,1097.7579909,5866.9696347,943.3586758,62.938356164,3226.2763699,511.60296804,1582.7344749
2014,15959.340753,499.86369863,1295.6832192,912.77522831,1065.3592466,5877.7586758,927.625,79.450799087,3254.4078767,493.89166667,1564.1357306
2015,15640.614155,474.09611872,1247.5955479,900.65776256,1039.4423516,5844.7378995,909.32739726,72.177853881,3164.260274,492.94109589,1525.1494292
2016,15595.371926,454.11577869,1231.9236111,858.78039617,1042.1049636,5847.2974727,893.9939663,91.822176685,3087.151184,482.14867942,1541.867714
2017,15078.880365,469.71643836,1185.3775114,838.30296804,1037.788242,5617.4607306,888.95319635,69.790981735,3057.4953196,452.64851598,1484.5505708
2018,15689.103425,509.06974886,1216.1018265,1027.3308219,908.24315068,5788.0803653,980.24885845,76.827739726,3176.4968037,482.56152968,1568.3184932
