year,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,24979,1132,2001,2508,1767,8886,1743,114,4862,1321,2917
2005,26160,1149,1825,2276,1723,9737,1651,182,5064,1210,3115
2006,27005,969,1759,2039,1759,10090,1518,116,5120,1678,3520
2007,25737,903,1874,2098,1708,9679,1609,151,5023,1021,3015
2008,24195,849,1782,2054,1607,9228,1554,209,4740,943,2837
2009,24380,859,1859,2292,1660,9345,1608,169,4510,873,2815
2010,25075,730,1642,1921,1533,9844,1639,189,5025,930,2892
2011,25450,728,1710,1874,1647,10285,1612,210,4873,970,2886
2012,24636,694,1618,1947,1547,10089,1569,163,4925,867,2638
2013,24927,776,1773,1730,1692,10181,1580,224,4927,906,2586
2014,22774,804,1779,1688,1783,8915,1646,445,4500,740,2412
2015,22516,741,2026,1638,1630,9229,1613,254,4564,832,2425
2016,23213,687,1645,1551,1726,9649,1573,292,4875,847,2530
2017,21786,699,1626,1500,1597,8840,1899,389,4394,797,3042
2018,23240,728,1609,2177,1687,9427,1936,181,7342,819,2590
